id,title,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix
adrift_2018,Adrift,65,69,PG-13,"['Injury Images', 'Brief Drug Use', 'Thematic Elements', 'Language', 'Partial Nudity', 'Peril']",2018-06-01,2018-08-21,120,"Adventure, Drama, Romance",English,Baltasar Kormákur,"Aaron Kandell,Jordan Kandell,David Branson Smith",$31.4M,STX Films,NA
1035316-born_to_kill,Born to Kill,74,83,NA,NA,1947-04-30,2016-05-23,92,"Crime, Drama",English,Robert Wise,"Eve Greene,Richard Macaulay",NA,NA,NA
leap_of_faith_2019,Leap of Faith: William Friedkin on The Exorcist,86,93,NA,NA,NA,2020-11-19,104,"Documentary, Mystery & thriller",English,Alexandre O. Philippe,Alexandre O. Philippe,NA,NA,NA
1221483-paa,Paa,67,50,NA,NA,2009-12-04,NA,133,Drama,Hindi,R. Balki,R. Balki,$199.2K,Big Pictures,NA
sarah_palin_you_betcha,Sarah Palin: You Betcha!,61,32,NA,NA,2011-09-30,2017-03-08,90,Documentary,English,"Nick Broomfield,Joan Churchill",NA,$10.5K,Freestyle Releasing,NA
1005521-death_of_a_salesman,Death of a Salesman,75,100,NA,NA,NA,2016-01-11,135,Drama,English,Volker Schlöndorff,NA,NA,NA,Stereo
escape_from_alcatraz,Escape From Alcatraz,85,97,NA,NA,NA,1999-03-09,107,"Mystery & thriller, Drama, Action",English,Don Siegel,Richard Tuggle,NA,NA,NA
a_state_of_mind_2005,A State of Mind,92,89,NA,NA,2005-08-10,2007-06-11,93,Documentary,Korean,Daniel Gordon,NA,$41.5K,Kino Pictures,NA
the_in_laws_1979,The In-Laws,83,88,NA,NA,NA,2013-07-02,103,Comedy,English,Arthur Hiller,NA,NA,NA,NA
gun_shy_2017,Salty,38,0,R,"['Some Sexual Content/Nudity', 'Language', 'Drug Material']",2017-09-08,2017-11-07,86,"Comedy, Action",English (United Kingdom),Simon West,"Toby Davies,Mark Haskell Smith",NA,Saban Films,NA
johnny_cool,Johnny Cool,44,50,NA,NA,1963-10-02,2011-06-27,103,"Crime, Drama",English,William Asher,NA,NA,NA,NA
race_the_sun,Race the Sun,41,22,NA,NA,1996-03-22,2002-04-30,99,Drama,English,Charles T. Kanganis,NA,$1.7M,NA,Surround
truth_about_love,The Truth About Love,41,0,R,"['Language', 'Sexual Content']",NA,2005-10-25,94,"Romance, Comedy",English,John Hay,William Johnston,NA,NA,Dolby Digital
paul_blart_mall_cop,Paul Blart: Mall Cop,43,34,PG,"['Mild Crude Humor', 'Language', 'Some Violence']",2009-01-16,2009-05-19,91,Comedy,English,Steve Carr,"Kevin James,Nick Bakay",$146.3M,Sony Pictures Entertainment,NA
not_without_my_daughter,Not Without My Daughter,71,53,NA,NA,1991-01-11,2001-10-02,110,Drama,English,Brian Gilbert,"Betty Mahmoody,William Hoffer",$14.0M,NA,Surround
monsoon_wedding,Monsoon Wedding,87,95,R,"['Some Sex Related Dialogue', 'Language']",2002-02-22,2002-09-24,100,"Comedy, Drama",English,Mira Nair,Sabrina Dhawan,$13.9M,USA Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR"
dr_knock_2017,Knock,42,25,NA,NA,NA,NA,113,Comedy,French (France),Lorraine Levy,Lorraine Levy,NA,NA,NA
violet_2017,Violet,56,85,NA,NA,2017-05-12,2018-11-17,82,Drama,Dutch,Bas Devos,Bas Devos,NA,Ryan Bruce Levey Film Distribution and PR Services,NA
small_town_wisconsin,Small Town Wisconsin,88,83,NA,NA,2022-06-03,2022-06-10,109,"Comedy, Drama",English,Niels Mueller,Jason Naczek,NA,Quiver Distribution,NA
the_100_year_old_man_who_climbed_out_the_window_and_disappeared,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,69,68,R,"['Some Violence', 'Language']",2015-05-01,2015-08-18,114,"Comedy, Adventure",Swedish,Felix Herngren,"Felix Herngren,Hans Ingemansson",$923.9K,Music Box Films,NA
rookie_of_the_year,Rookie of the Year,52,38,NA,NA,1993-07-07,2002-01-29,103,"Kids & family, Comedy",English,Daniel Stern,Sam Harper,$53.1M,20th Century Fox,NA
playback_2011,Playback,76,0,R,"['Some Teen Partying', 'Sexual Content/Nudity', 'Bloody Violence']",2012-03-09,2012-05-08,98,"Horror, Mystery & thriller",English,Michael A. Nickles,Michael A. Nickles,$252,Magnolia Pictures,NA
dangerous_men_2015,Dangerous Men,42,50,NA,NA,NA,NA,NA,NA,NA,Unknown Director,NA,NA,NA,NA
the_man_who_killed_don_quixote,The Man Who Killed Don Quixote,60,66,NA,NA,2019-04-10,2019-04-19,133,"Comedy, Adventure",English,Terry Gilliam,"Terry Gilliam,Tony Grisoni",$392.0K,Screen Media Films,"SDDS, Dolby Digital"
endless_poetry,Endless Poetry,80,93,NA,NA,2017-07-14,2017-11-19,128,Biography,Spanish,Alejandro Jodorowsky,Alejandro Jodorowsky,$64.0K,ABKCO Films Inc.,NA
kolchak_the_night_stalker,Kolchak: The Night Stalker,94,100,NA,NA,NA,NA,NA,NA,NA,Bernie Kopell,NA,NA,NA,NA
uzumasa_limelight,Uzumasa Limelight,88,91,NA,NA,2014-12-05,2016-08-10,103,"Drama, Action",Japanese,Ken Ochiai,Hiroyuki Ono,NA,Eleven Arts,NA
freeze-frame,Freeze Frame,60,71,R,"['Language', 'Strong Violence', 'Sexual Content']",2004-06-18,2005-01-18,100,Mystery & thriller,English,John Simpson,John Simpson,NA,First Look,"Surround, Dolby Digital"
robin_hood_2018,Robin Hood,40,15,PG-13,"['Extended Sequences of Violence', 'Action', 'Some Suggestive References']",2018-11-21,2019-02-19,118,"Action, Adventure",English,Otto Bathurst,"Ben Chandler,David James Kelly",$30.8M,Lionsgate Films,Dolby Atmos
peppermint_candy,Peppermint Candy,82,86,NA,NA,NA,2015-06-05,130,Drama,Korean,Lee Chang-dong,Lee Chang-dong,NA,NA,Surround
my_giant,My Giant,25,21,PG,"['Violence', 'Language', 'Brief Crude Humor']",1998-04-10,1998-09-29,103,"Comedy, Drama",English,Michael Lehmann,"Billy Crystal,David Seltzer,David Seltzer",$8.0M,Columbia Pictures,"SDDS, Dolby SR, Dolby Digital, Surround, Dolby A, Dolby Stereo"
addicted_2014,Addicted,51,7,R,"['Nudity', 'Language', 'Brief Drug Use', 'Strong Sexual Content']",2014-10-10,2015-02-10,105,"Drama, Mystery & thriller",English,Bille Woodruff,"Christina Welsh,Ernie Barbarash",$17.4M,"Code Black, Lionsgate Films",NA
think_like_a_dog,Think Like a Dog,52,70,PG,['Rude and Suggestive Material'],NA,2020-06-08,91,"Kids & family, Comedy, Fantasy",English,Gil Junger,"Gil Junger,John J. Strauss",NA,NA,NA
what_to_expect_when_youre_expecting,What to Expect When You're Expecting,47,23,PG-13,"['Language', 'Crude and Sexual Content', 'Thematic Elements']",2012-05-18,2012-09-11,110,"Comedy, Drama, Romance",English,Kirk Jones,"Shauna Cross,Heather Hach",$41.1M,Lionsgate Films,NA
jeruzalem,JeruZalem,52,54,R,"['Language Throughout', 'Horror Violence', 'Brief Drug Use', 'Some Sexuality/Nudity']",2016-01-22,2016-04-26,94,Horror,English,"Yoav Paz,Doron Paz","Yoav Paz,Doron Paz",NA,Epic Pictures,NA
pimp_2010,Pimp,13,0,NA,NA,NA,2012-03-20,91,Mystery & thriller,English,Robert Cavanah,"Robert Cavanah,Jon Kirby",NA,NA,NA
seeing_allred,Seeing Allred,77,100,NA,NA,NA,2018-02-09,96,Documentary,English,"Roberta Grossman,Sophie Sartain",NA,NA,NA,NA
almost_friends,Almost Friends,47,29,NA,NA,2017-11-17,2017-11-17,101,"Romance, Comedy",English,Jake Goldberger,Jake Goldberger,NA,Gravitas Ventures,NA
1081501-senseless,Senseless,45,6,R,"['Sexual Content', 'Language']",1998-02-20,2002-07-02,93,Comedy,English,Penelope Spheeris,"Greg Erb,Craig Mazin",$13.0M,NA,"SDDS, Dolby Stereo, Stereo"
good_son,The Good Son,54,25,NA,NA,1993-09-24,2004-02-03,87,Mystery & thriller,English,Joseph Ruben,Ian McEwan,$44.4M,Twentieth Century Fox Film Corporation,"Surround, Stereo"
falling_down,Falling Down,84,75,NA,NA,1993-02-26,2000-08-15,115,Action,English,Joel Schumacher,Ebbe Roe Smith,$40.4M,Warner Bros.,"Surround, Dolby SR"
conspiracy-of-hearts,Conspiracy of Hearts,75,71,NA,NA,NA,NA,111,Drama,English,Ralph Thomas,NA,NA,NA,NA
elephants,Elephants,95,83,NA,NA,2018-12-07,2018-12-10,92,"Romance, Drama",English,Alexander Hanno,Alexander Hanno,NA,Indie Rights,NA
the_love_letter,The Love Letter,38,33,NA,NA,1999-05-21,2005-09-06,88,"Romance, Lgbtq+",English,Peter Ho-Sun Chan,"Cathleen Schine,Maria Maggenti",$8.3M,"DreamWorks SKG, United International Pictures, Universal Home Entertainment, CIC-Taft Home Video, Argentina Video Home","Surround, Dolby Digital, DTS, Dolby SRD"
singh_is_bliing,Singh Is Bliing,23,40,NA,NA,NA,2017-03-16,140,"Action, Comedy",Hindi,Prabhu Deva,NA,$919.1K,NA,NA
problem_with_fear,A Problem With Fear,48,17,NA,NA,2003-09-05,NA,97,Comedy,English,Gary Burns,"Gary Burns,Donna Brunsdale",NA,Christal Films,Surround
under_the_sun,Under the Sun,78,74,NA,NA,1998-01-01,NA,130,Drama,Swedish,Colin Nutley,"Johanna Hald,David Neal,Colin Nutley",$332.1K,NA,"DTS-ES, DTS"
dead_of_winter,Dead of Winter,47,77,NA,NA,NA,2006-08-01,100,"Horror, Mystery & thriller",English,Arthur Penn,"Marc Shmuger,Mark Malone",$2.2M,NA,Surround
looking_for_grace_2015,Looking for Grace,21,44,PG-13,"['Brief Strong Language', 'Thematic Elements', 'Some Sexuality']",NA,2017-11-14,100,Drama,English,Sue Brooks,Sue Brooks,NA,NA,NA
stay_cool,Stay Cool,24,14,PG-13,"['Some Drug References', 'Sexual Content', 'Language', 'Some Underage Drinking']",NA,2011-12-06,94,Comedy,English,Michael Polish,Mark Polish,NA,NA,"SDDS, Dolby Digital, DTS"
love_at_large,Love at Large,45,78,NA,NA,NA,2004-01-13,97,"Romance, Comedy",English,Alan Rudolph,Alan Rudolph,$708.6K,NA,Surround
queen_of_the_stardust_ballroom,Queen of the Stardust Ballroom,67,80,NA,NA,NA,NA,98,Drama,English,Sam O'Steen,NA,NA,NA,NA
that_sugar_film,That Sugar Film,74,68,NA,NA,2015-07-31,2015-09-01,94,Documentary,English (Australia),Damon Gameau,Damon Gameau,$3.5K,Samuel Goldwyn Films,NA
humpday,Humpday,51,79,R,"['Pervasive Language', 'A Scene of Drug Use', 'Strong Sexual Content']",2009-07-10,2009-11-17,94,Comedy,English,Lynn Shelton,Lynn Shelton,$388.4K,Magnolia Pictures,NA
steele_justice,Steele Justice,41,20,NA,NA,NA,2016-05-03,95,Action,English,Robert Boris,NA,$490.7K,NA,NA
hospitality,Hospitality,40,17,NA,NA,2018-12-07,2018-12-07,80,Mystery & thriller,English,"David Guglielmo,Nick Chakwin","David Guglielmo,Nick Chakwin",NA,Kandoo Films,NA
unbranded,Unbranded,83,75,PG-13,"['Some Language', 'Unsettling Images']",2015-09-25,2015-09-29,105,Documentary,English,Phillip Baribeau,NA,NA,Gravitas Ventures,NA
1031278-gun_crazy,Gun Crazy,84,91,NA,NA,1950-01-20,2004-07-06,87,"Crime, Drama",English,Joseph H. Lewis,"MacKinlay Kantor,MacKinlay Kantor,Dalton Trumbo",NA,United Artists,Mono
the_advent_calendar,The Advent Calendar,63,81,NA,NA,NA,2021-12-02,90,"Mystery & thriller, Horror",French (France),Patrick Ridremont,Patrick Ridremont,NA,NA,NA
daisy_miller,Daisy Miller,32,75,NA,NA,1974-05-22,2015-09-01,90,Drama,English,Peter Bogdanovich,NA,NA,Paramount Pictures,NA
1016338-pink_panther,The Pink Panther,78,89,NA,NA,1964-03-20,2001-08-14,113,Comedy,English,Blake Edwards,"Maurice Richlin,Blake Edwards",NA,United Artists,NA
